,BBfull,BBOU,S&P 500
2019-09-09,74532.32983541489,90176.6728553772,110483.67158309
2019-09-10,72655.03012514114,89000.29473495483,110519.28095157797
2019-09-11,71363.13485002518,87717.08567428589,111318.30011814847
2019-09-12,70821.31638860703,89717.0411529541,111638.80254713849
2019-09-13,69457.4615893364,88314.19245910645,111557.92979520629
2019-09-16,69846.83928060532,87209.2786026001,111208.13023827667
2019-09-17,70697.83050298691,89122.81851959229,111495.24209208481
2019-09-18,70490.12131643295,89267.5779762268,111533.45061844561
2019-09-19,70154.47600889206,89444.71194839478,111535.67846805093
2019-09-20,70893.97542715073,90388.70880889893,110989.6470198708
2019-09-23,71622.92393064499,90222.58401489258,110978.88813641106
2019-09-24,72028.98996114731,90953.62113571167,110044.8486049405
2019-09-25,72030.847468853,91120.2273902893,110722.56769991192
2019-09-26,71054.3871254921,90631.31413269043,110453.6318386153
2019-09-27,70698.14227247238,90430.60186767578,109866.42139793397
2019-09-30,70696.95898962021,90041.3701210022,110420.98387996852
2019-10-01,70636.4004740715,90272.97961044312,109067.40223136345
2019-10-02,70472.01917791367,90156.11106491089,107114.74639011384
2019-10-03,70951.85250806808,90958.86734771729,107968.6557861873
2019-10-04,71353.30413389206,92111.17252349854,109503.63510793932
2019-10-07,71433.4279704094,91530.37902450562,109013.24556209642
2019-10-08,70241.36508131027,89272.6639137268,107316.91015734595
2019-10-09,72083.23727941513,90343.82271194458,108293.97616635625
