,walk_forward_equity
2021-03-08,227671.566426754
2021-03-09,232003.0690932274
2021-03-10,236651.35649633408
2021-03-11,238614.47078847885
2021-03-12,239752.77404928207
2021-03-15,243648.58648824692
2021-03-16,245118.42223501205
2021-03-17,245763.73975515366
2021-03-18,243938.6371397972
2021-03-19,243878.2546019554
2021-03-22,243790.81606435776
2021-03-23,242506.42421865463
2021-03-24,242809.6521372795
2021-03-25,249538.05064630508
2021-03-26,253963.69568014145
2021-03-29,249254.83695745468
2021-03-30,253984.63129854202
2021-03-31,250795.60370588303
2021-04-01,252395.6459259987
2021-04-05,253517.43852949142
2021-04-06,253910.9008421898
2021-04-07,254848.8471159935
2021-04-08,254700.86728048325
2021-04-09,254035.21727895737
2021-04-12,254613.46377706528
2021-04-13,254201.6161055565
2021-04-14,254104.0546889305
2021-04-15,253908.97621297836
2021-04-16,254407.54240560532
2021-04-19,254060.71760702133
2021-04-20,254873.58976888657
2021-04-21,257128.34895944595
2021-04-22,254297.64255285263
2021-04-23,258974.98922491074
2021-04-26,261323.23937654495
2021-04-27,261247.08945322037
2021-04-28,260478.90176534653
2021-04-29,264217.9656291008
2021-04-30,260651.1176047325
2021-05-03,269042.95539426804
2021-05-04,269690.21961545944
2021-05-05,274948.92974328995
2021-05-06,279353.347799778
2021-05-07,285053.3062605858
2021-05-10,284044.6039414406
2021-05-11,277333.3332271576
2021-05-12,268666.6061677933
2021-05-13,276670.3824958801
2021-05-14,283413.2242357731
2021-05-17,281763.04376101494
2021-05-18,279196.0836157799
2021-05-19,275141.76235842705
2021-05-20,276884.93985795975
2021-05-21,279466.92652869225
2021-05-24,278576.9545300007
2021-05-25,278232.85398221016
2021-05-26,278662.9807674885
2021-05-27,279777.988227129
2021-05-28,279615.01476216316
2021-06-01,279830.70778775215
2021-06-02,279329.920869112
2021-06-03,281777.1548206806
2021-06-04,281898.8951199055
2021-06-07,279513.5525486469
2021-06-08,279499.07484173775
2021-06-09,281555.06504559517
2021-06-10,283094.7913906574
2021-06-11,284511.44646573067
2021-06-14,281671.38955426216
2021-06-15,282080.1881496906
2021-06-16,272670.0559761524
2021-06-17,257876.22867703438
2021-06-18,247201.36124539375
2021-06-21,258474.90144467354
2021-06-22,257378.69904065132
2021-06-23,256290.63816571236
2021-06-24,259412.71854138374
2021-06-25,263575.4079182148
2021-06-28,258863.67345166206
2021-06-29,254475.2550098896
2021-06-30,257485.0413029194
2021-07-01,261463.7241947651
2021-07-02,263017.8064739704
2021-07-06,259981.74170422554
2021-07-07,259671.270768404
2021-07-08,258153.06827282906
2021-07-09,268157.1490662098
2021-07-12,269951.6954205036
2021-07-13,263187.1083166599
2021-07-14,263771.69351911545
2021-07-15,260267.26310563087
2021-07-16,254745.38172984123
2021-07-19,247049.84122109413
2021-07-20,258391.27001333237
2021-07-21,267284.69875502586
2021-07-22,260885.36345744133
2021-07-23,266496.8651647568
2021-07-26,267603.2849345207
2021-07-27,265700.10750341415
2021-07-28,264301.0154223442
2021-07-29,271402.65340948105
2021-07-30,269364.96672582626
2021-08-02,266952.95250844955
2021-08-03,269135.9972624779
2021-08-04,261291.38866186142
2021-08-05,262906.62050008774
2021-08-06,263174.2194571495
2021-08-09,261802.05823659897
2021-08-10,261262.38986349106
2021-08-11,263073.0886244774
2021-08-12,261415.22387075424
2021-08-13,264765.1689543724
2021-08-16,267606.42825460434
2021-08-17,269253.8965086937
2021-08-18,257689.6266875267
2021-08-19,256337.20677900314
2021-08-20,258005.9526371956
2021-08-23,264029.4774298668
2021-08-24,268305.1968302727
2021-08-25,269468.4535126686
2021-08-26,264837.6429953575
2021-08-27,270384.9363293648
2021-08-30,270760.55950021744
2021-08-31,270544.68117570877
2021-09-01,270127.21773958206
2021-09-02,268291.488922596
2021-09-03,266675.3329091072
2021-09-07,261851.56572008133
2021-09-08,261713.99810647964
2021-09-09,256766.79660654068
2021-09-10,253731.19073343277
2021-09-13,258982.82354021072
2021-09-14,257103.27032518387
2021-09-15,261544.65494585037
2021-09-16,261781.8491921425
2021-09-17,256596.86134195328
2021-09-20,248548.14777231216
2021-09-21,246423.86714792252
2021-09-22,249669.6796517372
2021-09-23,252322.72366952896
2021-09-24,254258.04666376114
2021-09-27,257320.48768472672
2021-09-28,247879.06186151505
2021-09-29,250420.95522546768
2021-09-30,241755.35212945938
2021-10-01,244810.5940709114
2021-10-04,243016.8160996437
2021-10-05,245158.7079911232
2021-10-06,246353.72950601578
2021-10-07,252102.29756212234
2021-10-08,248969.05330133438
2021-10-11,243432.61866998672
2021-10-12,239630.68029642105
2021-10-13,241827.76841020584
2021-10-14,252388.43201875687
2021-10-15,253816.007874012
2021-10-18,249966.40279054642
2021-10-19,254546.29312753677
2021-10-20,261137.50706911087
2021-10-21,258742.2432961464
2021-10-22,252382.86447763443
2021-10-25,250290.15692472458
2021-10-26,252500.66236639023
2021-10-27,247222.88128519058
2021-10-28,248220.4794945717
2021-10-29,246203.6598162651
2021-11-01,252873.27508115768
2021-11-02,249099.93336057663
2021-11-03,254859.57489728928
2021-11-04,249455.9993739128
2021-11-05,252707.7100672722
2021-11-08,255421.23902082443
2021-11-09,254885.24691724777
2021-11-10,257156.31154203415
2021-11-11,257717.31319761276
2021-11-12,258434.07608366013
2021-11-15,259244.92859220505
2021-11-16,258868.8897395134
2021-11-17,257935.37785291672
2021-11-18,255693.75270032883
2021-11-19,251658.42385053635
2021-11-22,263248.2196764946
2021-11-23,270022.82464170456
2021-11-24,269300.1049685478
2021-11-26,247059.81322813034
2021-11-29,247232.80124998093
2021-11-30,229703.32151651382
2021-12-01,223614.53797864914
2021-12-02,237507.03478956223
2021-12-03,236104.87871408463
2021-12-06,244745.2730202675
2021-12-07,251137.58214330673
2021-12-08,255524.42795610428
2021-12-09,251849.068464756
2021-12-10,255223.60304021835
2021-12-13,256009.08113336563
2021-12-14,253844.92416906357
2021-12-15,255875.10260343552
2021-12-16,255520.14329862595
2021-12-17,255535.23662519455
2021-12-20,253908.47837781906
2021-12-21,259183.6464457512
2021-12-22,260163.64902830124
2021-12-23,262127.62920713425
2021-12-27,265557.25000333786
2021-12-28,265577.76649045944
2021-12-29,266405.76438474655
2021-12-30,264896.8394846916
2021-12-31,266060.82535505295
2022-01-03,266060.82535505295
2022-01-04,266060.82535505295
2022-01-05,266095.72183942795
2022-01-06,265898.7843699455
2022-01-07,261300.43123960495
2022-01-10,260016.57907438278
2022-01-11,265729.0083270073
2022-01-12,268518.637401104
2022-01-13,260647.01652860641
2022-01-14,258188.06812620163
2022-01-18,248692.70994138718
2022-01-19,247035.41284513474
2022-01-20,241195.84289884567
2022-01-21,236753.03477811813
2022-01-24,240863.38614988327
2022-01-25,234992.39442014694
2022-01-26,232909.07200193405
2022-01-27,232666.05316495895
2022-01-28,241102.54285001755
2022-01-31,247756.97298765182
2022-02-01,247106.46174955368
2022-02-02,251040.94571256638
2022-02-03,249347.33536481857
2022-02-04,245974.96209287643
2022-02-07,245490.07176923752
2022-02-08,247831.72923994064
2022-02-09,250278.09497785568
2022-02-10,244489.1028971672
2022-02-11,240925.19731855392
2022-02-14,239168.70151472092
2022-02-15,242357.6048388481
2022-02-16,241970.32646894455
2022-02-17,237709.462703228
2022-02-18,237315.2754778862
2022-02-22,237755.50155210495
2022-02-23,234452.63579130173
2022-02-24,237003.63997983932
2022-02-25,240022.89646482468
2022-02-28,240689.00030851364
2022-03-01,239930.61719846725
2022-03-02,241438.446788311
2022-03-03,242018.82091856003
2022-03-04,242018.82091856003
2022-03-07,242018.82091856003
2022-03-08,242018.82091856003
2022-03-09,242018.82091856003
2022-03-10,242018.82091856003
2022-03-11,242018.82091856003
2022-03-14,242018.82091856003
2022-03-15,242018.82091856003
2022-03-16,242018.82091856003
2022-03-17,242018.82091856003
