,p5,p25,p50,p75,p95
2024-03-06,122892.62193599921,223450.07014913578,341140.3399691555,502478.19083379826,907264.2959409996
2024-03-07,123355.79329350858,222256.71259994607,341325.87042981456,502604.13756159385,910001.5875221859
2024-03-08,123317.85330921729,223483.1007909686,343256.0805794846,503497.06601021864,907321.7210254137
2024-03-11,123879.81091632698,222628.36769722236,342054.686685227,502698.33279394126,911397.1613882052
2024-03-12,124353.73623018828,223907.08105293033,342494.37592058047,504161.79577948176,908289.3473673753
2024-03-13,124217.89151580569,223873.4310373665,343023.1203490908,505977.0411464648,907292.9881781634
2024-03-14,123887.91991241682,224628.65684839082,343426.86642641807,504514.10006832005,911563.9567066219
2024-03-15,124438.47852230845,223969.16576990034,343817.54712179385,503585.8923375675,916054.4679900176
2024-03-18,123820.6988204336,223963.70277319924,345580.5611990738,506812.9496128105,927363.094555148
2024-03-19,123311.67517025086,224861.3200256059,346364.6170415064,506365.5209061683,928849.5433720981
2024-03-20,123991.76898407387,225705.50773703182,344935.341031912,505833.2136643104,933602.0499091881
2024-03-21,124152.19390097099,223656.05011024745,344916.5991696473,506065.20303601254,935467.6175298296
2024-03-22,124362.95821297544,223164.806018963,343804.65258195874,506446.06472436705,933599.7054035203
2024-03-25,123828.39591386473,225226.19859161472,344034.4634393924,508437.0654660798,937608.3191652418
2024-03-26,123942.89015350176,225138.3208718731,344341.6423418355,504292.4513514764,942319.8122443478
2024-03-27,123474.64890398276,227401.39986832402,345784.3578472964,504527.9961417323,942594.9838359451
2024-03-28,124138.65785918185,226183.02985113254,344842.1118750324,507353.52895412914,942844.1509662138
2024-04-01,123829.36887627248,225684.43325574242,347136.3977448269,507799.26203079993,942472.0336771389
2024-04-02,124088.67872951506,226921.77569946734,347599.14861731726,508820.43856180634,945791.5197914179
2024-04-03,123068.18766742526,226495.72065481325,346965.8335905087,510881.41509235627,939743.0353893574
2024-04-04,123487.26406565169,225952.13269284077,349117.485362628,512163.81947531074,942472.5098466245
2024-04-05,122692.66579177404,225777.3811914081,350016.81942935794,510656.9328171225,942633.0967431442
2024-04-08,122242.98583781219,224873.4232701094,350783.1236410168,511793.75936952856,939664.8301187063
2024-04-09,123128.58593688738,226025.1095515161,350831.11690193636,514616.75996642,942458.0252936507
2024-04-10,123467.37420702276,224716.52708182775,350578.2048665679,515988.882403181,940841.5339909346
2024-04-11,123458.41951456694,225302.2502570584,350043.9158161195,517169.12839187717,941384.3662805678
2024-04-12,121525.87033216647,223638.03531557,351806.26506084134,517618.88716574165,943348.2831244951
2024-04-15,122260.86716715452,225328.6973622733,351996.64865443564,517318.96660034824,940414.1116005735
2024-04-16,122546.41784386142,225273.02533563095,352280.19855459966,517308.0193400459,953267.5504161726
2024-04-17,122297.98133043153,224768.93752120016,350273.06048694684,518502.50132008566,951040.3049989158
2024-04-18,121651.36437957386,225224.4529254837,350229.97717474995,519880.7134071956,950260.7067184504
2024-04-19,121600.72191942863,225412.87757944668,351960.7640820449,519327.2258014501,949617.6539178401
2024-04-22,122313.66377990071,225249.9356711296,353138.6112723414,520133.4839717363,954478.4847711456
2024-04-23,122527.85597538816,225372.12192463415,351449.821581705,519575.6910528582,956556.2053240504
2024-04-24,122515.20104182084,225221.28570092836,352318.9638798911,519421.91952983185,956349.1520452695
2024-04-25,122777.40931822632,225798.51879969938,352781.25275826023,521092.40710392373,960454.3760891896
2024-04-26,123119.38119684001,225893.95244390087,354819.84731965075,525345.6048780849,954044.5561665883
2024-04-29,123765.28901119911,226474.96081362924,354701.93858328887,524160.25441830297,958111.151359738
2024-04-30,123165.2378806338,225920.30391857759,355209.7118037764,525512.2138819139,954180.0419662568
2024-05-01,123039.09058040952,226278.07201240698,355279.3180664841,526748.2214428716,955616.6470653367
2024-05-02,123131.45602841141,227128.72350477678,354319.4211402237,528254.2614450747,950966.0158990559
2024-05-03,122706.49718617206,228843.22603105532,356290.8709942434,526696.3891675806,948062.1202654405
2024-05-06,122508.19368041384,227171.26460449048,356215.03406853555,527876.0575485172,955086.8572970233
2024-05-07,123154.67597949486,226618.8318736614,357763.65692856984,529346.4919393671,956491.9926862279
2024-05-08,123626.03854753009,227199.95703637422,357750.8708136792,531330.0239289567,957709.4520072648
2024-05-09,124981.05115861584,227092.19208567886,358277.13788948196,531693.7755782634,960356.4983638226
2024-05-10,126414.70856987267,227030.1847637239,357992.77258060453,531137.9956909096,965773.0887149649
2024-05-13,125293.93428914882,226836.7008568389,358236.84892273427,533349.1051471494,961347.9766525946
2024-05-14,124505.45396875884,227529.18645040222,359287.6217250414,533427.8256659224,967878.641477588
2024-05-15,124551.86085249348,229800.84906660527,359266.3244470601,534609.1142609185,960960.8307140952
2024-05-16,123833.79163881794,227887.34652188153,359050.21923644864,533119.0715369963,969894.6299795916
2024-05-17,123132.18686048771,227603.74755837777,359926.9067559631,532814.5899839833,973565.5262309214
2024-05-20,125167.62778639828,228514.75724784483,360205.70361085323,535271.9738366067,967785.2928156551
2024-05-21,125529.03461913347,227792.33047471388,361499.9696243965,534084.4754185679,968785.9592629564
2024-05-22,125206.17730709705,229614.08897183827,360562.95675745606,537217.0498698131,969396.4586971638
2024-05-23,124331.53630599026,228313.5703758954,360318.9157768857,538627.8683384286,967669.2770393662
2024-05-24,124639.79371996612,229375.50100363503,360572.77966395253,540535.5341290599,974899.0706440926
