,walk_forward_equity
2021-12-10,94538.58529853821
2021-12-13,94538.58529853821
2021-12-14,94538.58529853821
2021-12-15,94538.58529853821
2021-12-16,94538.58529853821
2021-12-17,94538.58529853821
2021-12-20,94538.58529853821
2021-12-21,94538.58529853821
2021-12-22,94538.58529853821
2021-12-23,94538.58529853821
2021-12-24,94538.58529853821
2021-12-27,94538.58529853821
2021-12-28,94538.58529853821
2021-12-29,94538.58529853821
2021-12-30,94538.58529853821
2021-12-31,94538.58529853821
2022-01-03,94538.58529853821
2022-01-04,94538.58529853821
2022-01-05,94538.58529853821
2022-01-06,94538.58529853821
2022-01-07,94538.58529853821
2022-01-10,94538.58529853821
2022-01-11,94538.58529853821
2022-01-12,94538.58529853821
2022-01-13,94538.58529853821
2022-01-14,94538.58529853821
2022-01-17,94538.58529853821
2022-01-18,94538.58529853821
2022-01-19,94538.58529853821
2022-01-20,94538.58529853821
2022-01-21,94538.58529853821
2022-01-24,93952.10885810852
2022-01-25,94026.27621650696
2022-01-26,94178.73300361633
2022-01-27,94061.98715400696
2022-01-28,93750.20688056946
2022-01-31,93965.84311103821
2022-02-01,94368.27389717102
2022-02-02,94236.41977119446
2022-02-03,94270.75583076477
2022-02-04,93828.49460029602
2022-02-07,93828.49460029602
2022-02-08,93828.49460029602
2022-02-09,93828.49460029602
2022-02-10,93828.49460029602
2022-02-11,93828.49460029602
2022-02-14,93828.49460029602
2022-02-15,93828.49460029602
2022-02-16,93828.49460029602
2022-02-17,93828.49460029602
2022-02-18,93828.49460029602
2022-02-21,93828.49460029602
2022-02-22,93828.49460029602
2022-02-23,93828.49460029602
2022-02-24,93828.49460029602
2022-02-25,93828.49460029602
2022-02-28,93828.49460029602
2022-03-01,93828.49460029602
2022-03-02,93828.49460029602
2022-03-03,93828.49460029602
2022-03-04,93828.49460029602
2022-03-07,93828.49460029602
2022-03-08,93828.49460029602
2022-03-09,93828.49460029602
2022-03-10,93828.49460029602
2022-03-11,93828.49460029602
2022-03-14,93828.49460029602
2022-03-15,93828.49460029602
2022-03-16,93828.49460029602
2022-03-17,93828.49460029602
2022-03-18,93828.49460029602
2022-03-21,93828.49460029602
2022-03-22,93828.49460029602
2022-03-23,93828.49460029602
2022-03-24,93828.49460029602
2022-03-25,93828.49460029602
2022-03-28,93828.49460029602
2022-03-29,93828.49460029602
2022-03-30,93828.49460029602
2022-03-31,93828.49460029602
2022-04-01,93828.49460029602
2022-04-04,93828.49460029602
2022-04-05,93828.49460029602
2022-04-06,93828.49460029602
2022-04-07,93828.49460029602
2022-04-08,93828.49460029602
2022-04-11,93828.49460029602
2022-04-12,93828.49460029602
2022-04-13,93828.49460029602
2022-04-14,93828.49460029602
2022-04-19,93828.49460029602
2022-04-20,93828.49460029602
2022-04-21,93828.49460029602
