,BBfull,BBOU,DAX
2023-01-25,59309.60606074333,84817.41652536392,117171.80553436441
2023-01-26,59073.85169005394,84935.95334482193,117569.66436962792
2023-01-27,58886.338193655014,84888.23792123795,117703.14385033485
2023-01-30,58949.38899683952,84711.44779062271,117517.0707380551
2023-01-31,58572.3827483654,84588.53516626358,117534.08096915526
2023-02-01,58317.99051642418,84395.47294092178,117941.73472339749
2023-02-02,57842.391471624374,84751.70726251602,120493.51976202671
2023-02-03,58128.57034659386,85402.03796434402,120238.9960230808
2023-02-06,59266.35197806358,85766.58811616898,119224.9677416369
2023-02-07,59588.80548453331,86123.1442952156,119030.50331999197
2023-02-08,59117.62184500694,86182.83260774612,119738.81784053068
2023-02-09,59246.734802007675,86820.25431489944,120604.07109001972
2023-02-10,61089.234035253525,86493.30634355545,118930.28559358612
2023-02-13,61326.16900610924,86290.12418413162,119624.5336696736
2023-02-14,60859.08855032921,86138.6290898323,119494.1648913534
2023-02-15,61229.53577017784,86390.29543733597,120471.37307844895
2023-02-16,61791.352256536484,86822.55586671829,120683.46987167138
2023-02-17,61750.714646101,87053.57149171829,120282.27272165139
2023-02-20,62495.83364844322,87108.7381196022,120247.69840268468
2023-02-21,61574.293687582016,87130.28265619278,119626.71116134431
2023-02-22,62264.71068549156,86895.39691591263,119644.34353292182
2023-02-23,62520.18620276451,87379.0081448555,120233.25260428383
2023-02-24,62871.91512084007,87998.80453062057,118167.04062114505
2023-02-27,62151.945439100266,87348.32206964493,119500.92497873532
2023-02-28,63009.14200377464,88286.63693094254,119374.36491406913
2023-03-01,63316.35150408745,88946.70042848587,118907.28157008225
2023-03-02,63351.522359609604,88897.25825166702,119083.02108077484
2023-03-03,64264.18996024132,88851.93744516373,121031.14017940256
2023-03-06,63991.48822379112,88687.12543344498,121615.30732639454
2023-03-07,64397.75324988365,88728.32843637466,120884.61850990831
2023-03-08,62960.085860967636,88621.40128946304,121446.63897332255
2023-03-09,63519.25992178917,88425.95007181168,121457.04844569962
2023-03-10,64843.40970206261,88773.63858652115,119862.50240225889
2023-03-13,66763.33740401268,88761.14871263504,116222.64677830246
2023-03-14,68524.60244345665,90543.31919717789,118346.42951683281
2023-03-15,64825.84143233299,86531.06072282791,114480.72172544137
2023-03-16,67360.57295012474,88905.45658540726,116281.92462646723
2023-03-17,64756.09273028374,87320.39947366714,114736.64148692181
2023-03-20,66147.40541052818,88359.58822965622,116019.95037595114
2023-03-21,69926.1940009594,90797.62131738663,118055.16155432844
2023-03-22,70050.2433526516,91022.05274915695,118217.15327788747
2023-03-23,68933.14880251884,90297.22181940079,118172.08602867475
2023-03-24,68911.33091330528,90117.73297262192,116205.24960617369
2023-03-27,70204.31356596947,90416.95449972153,117529.49837344406
2023-03-28,70233.54664969444,90473.96690702438,117640.90704136316
2023-03-29,70491.6276242733,90603.41302061081,119091.88278903755
2023-03-30,70381.3186738491,90666.82662725449,120596.150179552
2023-03-31,68927.76131224632,89959.98699903488,121423.09626721025
2023-04-03,69229.59809470177,89988.73295545578,121050.79830107093
2023-04-04,68993.47529196739,89965.17633771896,121225.99154207607
2023-04-05,69974.56463217735,89744.61729383469,120578.8212911342
2023-04-06,69198.70048499107,89136.37952566147,121182.63897271558
2023-04-11,69291.16711592674,89239.69934606552,121627.65909099358
2023-04-12,69405.45869994164,89364.73705816269,122003.91751236674
2023-04-13,69222.14709448814,89053.61820745468,122204.8309511549
2023-04-14,68333.12647414207,88399.50168180466,122811.13719464566
2023-04-17,68599.33484816551,88414.665954113,122671.52735411318
2023-04-18,67988.70536589622,88242.94956922531,123395.14501297883
2023-04-19,67570.1536347866,88526.78931379318,123492.49482352569
2023-04-20,67202.24971938133,88322.28833341599,122721.55655298669
2023-04-21,67622.79839682579,87796.24930334091,123387.29997330107
2023-04-24,67907.41667151451,87872.93888616562,123249.70829578045
2023-04-25,67620.21388220787,87932.31930303574,123313.25766941777
2023-04-26,67684.24307990074,88288.67390966415,122719.69771863363
2023-04-27,68318.49740958214,89582.35239171982,122756.36607140214
2023-04-28,69449.01875281334,89802.5266623497,123703.6584060321
2023-05-02,70004.01576209068,90135.86112356186,122185.25628735546
2023-05-03,69722.98929572105,89813.19054937363,122869.86877312305
2023-05-04,70751.75890898705,90729.82849264145,122241.96970282095
2023-05-05,73060.29772925377,91784.43350362778,124003.85636051008
