,static_equity
2023-06-21,160678.6468153
2023-06-22,160678.6468153
2023-06-23,160678.6468153
2023-06-26,160678.6468153
2023-06-27,160678.6468153
2023-06-28,160678.6468153
2023-06-29,160678.6468153
2023-06-30,160678.6468153
2023-07-03,160678.6468153
2023-07-05,160678.6468153
2023-07-06,160678.6468153
2023-07-07,160678.6468153
2023-07-10,160723.20447826385
2023-07-11,160184.05935192108
2023-07-12,160411.29712963104
2023-07-13,160602.90583324432
2023-07-14,160803.41346263885
2023-07-17,160651.9203748703
2023-07-18,160723.20447826385
2023-07-19,161217.79935741425
2023-07-20,161516.33607006073
2023-07-21,161560.90114879608
2023-07-24,161560.90114879608
2023-07-25,161560.90114879608
2023-07-26,161560.90114879608
2023-07-27,161560.90114879608
2023-07-28,161560.90114879608
2023-07-31,161560.90114879608
2023-08-01,161428.57210826874
2023-08-02,162080.0331144333
2023-08-03,161881.54166698456
2023-08-04,161739.0368833542
2023-08-07,162584.05475902557
2023-08-08,162515.9961462021
2023-08-09,162223.70838832855
2023-08-10,162141.5072774887
2023-08-11,162163.90719890594
2023-08-14,162962.51890087128
2023-08-15,160976.94304561615
2023-08-16,159978.34780406952
2023-08-17,158755.40688991547
2023-08-18,158469.9782819748
2023-08-21,158625.9523038864
2023-08-22,158042.41510677338
2023-08-23,160057.01339244843
2023-08-24,158734.19134807587
2023-08-25,160006.3176794052
2023-08-28,159920.831076622
2023-08-29,161677.2443342209
2023-08-30,161955.842959404
2023-08-31,161129.97558879852
2023-09-01,161033.78066158295
2023-09-05,161091.460606575
2023-09-06,161003.16324806213
2023-09-07,161172.59684085846
2023-09-08,161602.56265068054
2023-09-11,162303.76727485657
2023-09-12,161631.52968406677
2023-09-13,161272.79418754578
2023-09-14,162753.40203666687
2023-09-15,162505.92380523682
2023-09-18,162846.2009716034
2023-09-19,162696.4410057068
2023-09-20,163308.49450683594
2023-09-21,163308.49450683594
2023-09-22,163541.75479125977
2023-09-25,163933.61209869385
2023-09-26,162427.1575832367
2023-09-27,161809.50081825256
2023-09-28,161372.64903640747
2023-09-29,160917.8403968811
2023-10-02,159418.60152816772
2023-10-03,159049.53701400757
2023-10-04,161525.42584609985
2023-10-05,156049.8682899475
2023-10-06,155831.720495224
2023-10-09,155634.06971168518
2023-10-10,156822.9748878479
2023-10-11,156065.31047058105
2023-10-12,153955.1055908203
2023-10-13,154368.9350757599
2023-10-16,155148.51941871643
2023-10-17,155703.8858203888
2023-10-18,155598.94683265686
2023-10-19,155442.60869407654
2023-10-20,154820.5681667328
2023-10-23,154155.01140403748
2023-10-24,154969.66839408875
2023-10-25,151887.9208126068
2023-10-26,151947.27644443512
2023-10-27,151658.08233737946
2023-10-30,152331.90125274658
2023-10-31,153207.73955631256
2023-11-01,154349.82426071167
2023-11-02,160432.62337112427
2023-11-03,163379.00721549988
2023-11-06,162979.26542186737
2023-11-07,163831.89223384857
2023-11-08,160639.6025505066
2023-11-09,160933.42175674438
2023-11-10,161094.07571792603
2023-11-13,161094.07571792603
